domain,tables_crossed,fields_crossed,mutation_tables,rule_count,evidence_refs,risk_summary
logistics-route-trip-assignment-management,10,54,2,16,31,SQL dinamico; permisos/autorizacion; documentos/OCR; variante cliente; catalogos/semantica
logistics-shipment-cost-capture-control,9,39,2,12,8,SQL dinamico; atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; catalogos/semantica
logistics-shipment-document-attachment-management,2,12,1,13,7,permisos/autorizacion; documentos/OCR
logistics-shipment-edit-participant-sync,5,26,3,12,7,SQL dinamico; atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; variante cliente
logistics-shipment-finalization-control,6,46,2,18,27,SQL dinamico; atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; variante cliente; catalogos/semantica
logistics-shipment-quotation-duplication,6,40,6,12,7,SQL dinamico; atomicidad/concurrencia; documentos/OCR; catalogos/semantica
logistics-shipment-tracking,24,36,0,5,45,documentos/OCR; catalogos/semantica
master-data-configuration,24,163,1,14,35,atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; catalogos/semantica
nationalization-weekly-planning,2,5,0,13,0,documentos/OCR
operational-case-dossier-access,1,4,0,16,0,permisos/autorizacion; documentos/OCR; catalogos/semantica
operational-expense-control,7,25,0,16,0,SQL dinamico; permisos/autorizacion; documentos/OCR; catalogos/semantica
operational-reporting-downloads,13,47,0,13,4,atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; catalogos/semantica
packing-list-import-validation,3,23,0,15,0,SQL dinamico; documentos/OCR
realtime-notification-center,12,32,0,14,1,permisos/autorizacion; documentos/OCR; catalogos/semantica
scp-reception-control,2,25,0,13,1,SQL dinamico; documentos/OCR; catalogos/semantica
shipment-commercial-invoice-reference-sync,0,0,0,8,4,documentos/OCR; variante cliente
shipment-customs-request-management,13,74,2,18,24,SQL dinamico; atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; variante cliente; catalogos/semantica
third-party-token-document-onboarding,24,31,0,8,14,SQL dinamico; permisos/autorizacion; documentos/OCR; catalogos/semantica
transport-export-tracking,21,56,0,1,58,documentos/OCR
vehicle-chassis-timeline-trace,0,0,0,15,0,permisos/autorizacion; documentos/OCR; catalogos/semantica
vehicle-cost-accounting-reporting,15,58,0,16,0,documentos/OCR
vehicle-excel-intake-validation,4,12,1,18,10,atomicidad/concurrencia; documentos/OCR; catalogos/semantica
vehicle-import-management,11,36,0,8,56,documentos/OCR; catalogos/semantica
vehicle-invoice-data-bulk-update,8,50,0,16,7,atomicidad/concurrencia; permisos/autorizacion; documentos/OCR; catalogos/semantica
vehicle-reception-part-ocr-document-generation,8,34,0,11,22,atomicidad/concurrencia; documentos/OCR; catalogos/semantica
vehicle-request-bulk-update,3,9,0,17,0,SQL dinamico; permisos/autorizacion; documentos/OCR
vehicle-sales-invoice-ocr-ledger-capture,1,7,1,5,7,SQL dinamico; atomicidad/concurrencia; permisos/autorizacion; documentos/OCR
vehicle-soat-pdf-ocr-splitting,0,0,0,8,12,documentos/OCR; catalogos/semantica
vehicle-transitory-depot-compliance,15,30,0,13,0,documentos/OCR; variante cliente; catalogos/semantica
warehouse-inventory-reporting,10,34,0,12,27,permisos/autorizacion; documentos/OCR
